caption,image_path
"Elegant floral summer dress with vibrant patterns, perfect for warm weather and outdoor events",multimodal_images/summer_dress_floral_1_1768034261242.png
"Black elegant evening dress, sleeveless floor-length gown for formal occasions",multimodal_images/evening_dress_black_1.png
"Casual blue denim shirt dress, knee-length relaxed fit for everyday wear",multimodal_images/casual_dress_blue_1.png
"Beige knit sweater dress, long sleeve midi length for cozy winter style",multimodal_images/knit_dress_beige_1.png
"Red mini cocktail dress, fitted silhouette sleeveless for party nights",multimodal_images/mini_dress_red_1.png
"Classic black leather jacket with sleek design, essential for edgy streetwear and cool evenings",multimodal_images/leather_jacket_black_1_1768034275556.png
"Classic blue denim jacket, vintage wash with metal buttons for casual style",multimodal_images/denim_jacket_blue_1.png
"Navy blue formal blazer, single-breasted tailored fit for professional look",multimodal_images/blazer_navy_1.png
"Olive green puffer down jacket, quilted hooded winter outerwear for cold weather",multimodal_images/puffer_jacket_green_1.png
"Beige classic trench coat, double-breasted belted waist for elegant layering",multimodal_images/trench_coat_beige_1.png
"Minimalist white sneakers with clean silhouette, versatile footwear for casual everyday style",multimodal_images/white_sneakers_1_1768034289430.png
"Black leather ankle boots, chunky heel with side zipper for edgy fashion",multimodal_images/boots_black_1.png
"Brown leather penny loafers, classic polished finish for sophisticated look",multimodal_images/loafers_brown_1.png
"Red stiletto high heels, pointed toe elegant pumps for glamorous occasions",multimodal_images/heels_red_1.png
"Tan leather strappy sandals, flat sole summer footwear for warm days",multimodal_images/sandals_tan_1.png
"Premium brown leather handbag with sophisticated finish, ideal accessory for professional outfits",multimodal_images/brown_leather_bag_1_1768034306074.png
"Black leather backpack, minimalist design with silver hardware for urban style",multimodal_images/backpack_black_1.png
"Gold metallic evening clutch, rectangular shape with chain strap for formal events",multimodal_images/clutch_gold_1.png
"Canvas tote bag with leather handles, natural beige spacious design for daily use",multimodal_images/tote_bag_canvas_1.png
"Red leather crossbody bag, small size with gold chain strap for trendy look",multimodal_images/crossbody_bag_red_1.png
